CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-511,White,Alone or In Combination,4138
2017,CA-511,White,In_Combination,2210
2017,CA-512,"American Indian, Alaska Native, or Indigenous",Alone,30
2017,CA-512,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,327
2017,CA-512,"American Indian, Alaska Native, or Indigenous",In_Combination,297
2017,CA-512,Asian or Asian American,Alone,195
2017,CA-512,Asian or Asian American,Alone or In Combination,243
2017,CA-512,Asian or Asian American,In_Combination,48
2017,CA-512,"Black, African American or African",Alone,665
2017,CA-512,"Black, African American or African",Alone or In Combination,778
2017,CA-512,"Black, African American or African",In_Combination,113
2017,CA-512,Hispanic/Latina/e/o,Alone,89
2017,CA-512,Hispanic/Latina/e/o,Alone or In Combination,1425
2017,CA-512,Hispanic/Latina/e/o,In_Combination,1336
2017,CA-512,Native Hawaiian or Pacific Islander,Alone,334
2017,CA-512,Native Hawaiian or Pacific Islander,Alone or In Combination,378
2017,CA-512,Native Hawaiian or Pacific Islander,In_Combination,44
2017,CA-512,White,Alone,983
2017,CA-512,White,Alone or In Combination,2095
2017,CA-512,White,In_Combination,1112
2017,CA-513,"American Indian, Alaska Native, or Indigenous",Alone,45
2017,CA-513,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,146
2017,CA-513,"American Indian, Alaska Native, or Indigenous",In_Combination,101
2017,CA-513,Asian or Asian American,Alone,14
2017,CA-513,Asian or Asian American,Alone or In Combination,31
2017,CA-513,Asian or Asian American,In_Combination,17
2017,CA-513,"Black, African American or African",Alone,342
2017,CA-513,"Black, African American or African",Alone or In Combination,423
2017,CA-513,"Black, African American or African",In_Combination,81
2017,CA-513,Hispanic/Latina/e/o,Alone,146
2017,CA-513,Hispanic/Latina/e/o,Alone or In Combination,1431
2017,CA-513,Hispanic/Latina/e/o,In_Combination,1285
2017,CA-513,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-513,Native Hawaiian or Pacific Islander,Alone or In Combination,26
2017,CA-513,Native Hawaiian or Pacific Islander,In_Combination,17
2017,CA-513,White,Alone,1028
2017,CA-513,White,Alone or In Combination,2276
2017,CA-513,White,In_Combination,1248
2017,CA-514,"American Indian, Alaska Native, or Indigenous",Alone,51
2017,CA-514,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,125
2017,CA-514,"American Indian, Alaska Native, or Indigenous",In_Combination,74
2017,CA-514,Asian or Asian American,Alone,29
2017,CA-514,Asian or Asian American,Alone or In Combination,38
2017,CA-514,Asian or Asian American,In_Combination,*
2017,CA-514,"Black, African American or African",Alone,570
2017,CA-514,"Black, African American or African",Alone or In Combination,652
2017,CA-514,"Black, African American or African",In_Combination,82
2017,CA-514,Hispanic/Latina/e/o,Alone,62
2017,CA-514,Hispanic/Latina/e/o,Alone or In Combination,1167
2017,CA-514,Hispanic/Latina/e/o,In_Combination,1105
2017,CA-514,Native Hawaiian or Pacific Islander,Alone,13
2017,CA-514,Native Hawaiian or Pacific Islander,Alone or In Combination,28
2017,CA-514,Native Hawaiian or Pacific Islander,In_Combination,15
2017,CA-514,White,Alone,706
2017,CA-514,White,Alone or In Combination,1770
2017,CA-514,White,In_Combination,1064
2017,CA-515,"American Indian, Alaska Native, or Indigenous",Alone,21
2017,CA-515,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,136
2017,CA-515,"American Indian, Alaska Native, or Indigenous",In_Combination,115
2017,CA-515,Asian or Asian American,Alone,*
2017,CA-515,Asian or Asian American,Alone or In Combination,21
2017,CA-515,Asian or Asian American,In_Combination,15
2017,CA-515,"Black, African American or African",Alone,91
2017,CA-515,"Black, African American or African",Alone or In Combination,154
2017,CA-515,"Black, African American or African",In_Combination,63
2017,CA-515,Hispanic/Latina/e/o,Alone,17
2017,CA-515,Hispanic/Latina/e/o,Alone or In Combination,211
2017,CA-515,Hispanic/Latina/e/o,In_Combination,194
2017,CA-515,Native Hawaiian or Pacific Islander,Alone,11
2017,CA-515,Native Hawaiian or Pacific Islander,Alone or In Combination,36
2017,CA-515,Native Hawaiian or Pacific Islander,In_Combination,25
2017,CA-515,White,Alone,874
2017,CA-515,White,Alone or In Combination,1110
2017,CA-515,White,In_Combination,236
2017,CA-516,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-516,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,21
2017,CA-516,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-516,Asian or Asian American,Alone,*
2017,CA-516,Asian or Asian American,Alone or In Combination,*
2017,CA-516,Asian or Asian American,In_Combination,*
2017,CA-516,"Black, African American or African",Alone,12
2017,CA-516,"Black, African American or African",Alone or In Combination,26
2017,CA-516,"Black, African American or African",In_Combination,14
2017,CA-516,Hispanic/Latina/e/o,Alone,*
2017,CA-516,Hispanic/Latina/e/o,Alone or In Combination,26
2017,CA-516,Hispanic/Latina/e/o,In_Combination,22
2017,CA-516,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-516,Native Hawaiian or Pacific Islander,Alone or In Combination,*
2017,CA-516,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-516,White,Alone,155
2017,CA-516,White,Alone or In Combination,196
2017,CA-516,White,In_Combination,41
2017,CA-517,"American Indian, Alaska Native, or Indigenous",Alone,18
2017,CA-517,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,126
2017,CA-517,"American Indian, Alaska Native, or Indigenous",In_Combination,108
2017,CA-517,Asian or Asian American,Alone,*
2017,CA-517,Asian or Asian American,Alone or In Combination,14
2017,CA-517,Asian or Asian American,In_Combination,*
2017,CA-517,"Black, African American or African",Alone,52
2017,CA-517,"Black, African American or African",Alone or In Combination,66
2017,CA-517,"Black, African American or African",In_Combination,14
